Plantnaam
Cotoneaster pr. 'Streib's Findling'
Cotoneaster radicans 'Eichholz'
Cotoneaster suec. 'Coral Beauty'
Cotoneaster suec. 'Skogholm'
Crocosmia 'Lucifer'
Cupressocyparis l. 'Castlewellan'
Cupressocyparis l. 'Tweeduizendéén'
Cupressocyparis leylandii
Deschampsia cesp. 'Goldschleier'
Deschampsia cesp. 'Goldtau'
Deschampsia cespitosa
Deutzia cren. 'Pride of Rochester'
Deutzia gracilis
Deutzia gracilis 'Nikko'
Deutzia hybrida 'Mont Rose'
Deutzia lemoinei
Deutzia magnifica
Deutzia rosea 'Campanulata'
Deutzia scabra 'Plena'
Dianthus carthusianorum
Diervilla lonicera 'Dilon'
Diervilla splendens
Dryopteris affinis
Dryopteris erythrosora 'prolifica'
Dryopteris filix-mas
Echinacea p. 'Alba'
Echinacea p. 'Magnus Superior'
Echinacea purpurea
Elaeagnus ebb. 'Compacta'
Elaeagnus ebbingei
Epimedium versicolor 'Sulphureum'
Eragrostis spectabilis
Escallonia 'Apple Blossom'
Escallonia 'Donard Seedling'
Escallonia 'Iveyi'
Escallonia 'Red Dream'
Escallonia 'Red Elf'
Euonymus alat. 'Compactus'
Euonymus alatus
Euonymus europaeus
Euonymus europaeus 'Red Cascade'
Euonymus fort. 'Emerald 'n' Gold'
Euonymus fort. 'Emerald Gaiety'
Euonymus jap. 'Green Spire'
Euonymus jap. 'Jean Hugues'
Euonymus jap. 'Microphyllus'
Euonymus japonicus
Exochorda 'The Bride'
Festuca 'Walberla'
Festuca gautieri
Festuca gautieri 'Pic Carlit'
Festuca glauca 'Elijah Blue'
Forsythia int. 'Courtalyn'
Forsythia int. 'Lynwood'
Forsythia Marée d'Or
Gaura lindh. 'Short Form'
Gaura lindh. 'Siskiyou Pink'
Gaura lindh. 'Whirling Butterflies'
Gaura lindheimeri
Genista lydia
Geranium 'Azure Rush'
Geranium 'Johnson's Blue'
Geranium macr. 'Czakor'
Geranium macr. 'Ingwersen's Var.'
Geranium Rozanne
Hakonechloa macra
"Hakonechloa macra ""Greenhills"""
Hakonechloa macra 'All Gold'
Hakonechloa macra 'Aureola'
Hamamelis int. 'Jelena'
Hedera colchica 'Fail Favourite'
Hedera hel. 'Arborescens'
Helenium 'Moerheim Beauty'
Helictotrichon sempervirens
Hemerocallis 'Frans Hals'
Hemerocallis 'Stella de Oro'
Heuchera mic. 'Palace Purple'
Hibiscus syr. 'Oiseau Bleu'
Hibiscus syr. 'Sanchonyo'
Hibiscus syr. 'Woodbridge'
Hibiscus syr. White Chiffon
Hosta 'Francee'
Hosta 'Gold Standard'
Hosta 'Halcyon'
Hosta 'Sum and Substance'
Hosta 'Wide Brim'
Hosta sieb. 'Elegans'
Hosta sieb. 'Frances Williams'
Hydrangea a. 'Annabelle'
Hydrangea anomala petiolaris
Hydrangea asp. Hot Chocolate
Hydrangea aspera Rosemary Foster
Hydrangea m. 'Alpengluhen'
Hydrangea m. 'Blaumeise'
Hydrangea m. 'Gertrud Glahn'
Hydrangea m. 'King George VII'
Hydrangea m. 'Libelle'
Hydrangea m. 'Mad. Emile Mouillére'
Hydrangea m. 'Nikko Blue'
Hydrangea m. 'Rotkehlchen'
Hydrangea m. 'Sibilla'
Hydrangea m. 'Soeur Thérése'
Hydrangea m. 'Taube'
Hydrangea m. 'Zaunkönig'
Hydrangea pan. 'Kyushu'
Hydrangea pan. 'Limelight'
Hydrangea pan. 'Phantom'
Hydrangea pan. 'Wim's Red'
Hydrangea pan. Little Lime
Hydrangea pan. Pinky Winky
Hydrangea pan. Vanille-Fraise
Hydrangea querc. 'Alice'
Hydrangea querc. 'Burgundy'
Hydrangea querc. Snow Queen
Hydrangea quercifolia
Hydrangea s. 'Bluebird'
Hydrangea s. 'Preziosa'
Hypericum 'Hidcote'
Iberis semp. 'Schneeflocke'
Ilex aq. 'Alaska'
Ilex aquifolium
Ilex crenata 'Blondie'
Ilex crenata 'Caroline Upright'
Ilex crenata 'Convexa'
Ilex crenata 'Fastigiata'
Ilex crenata 'Golden Gem'
Ilex crenata 'Green Hedge'
Ilex crenata 'Green Lustre'
Ilex crenata 'Stokes'
Ilex crenata Dark Green
Ilex maximowicziana
Ilex maximowicziana kanehirae
Ilex meserv. 'Blue Angel'
Ilex meserv. 'Blue Prince'
Ilex meserv. 'Blue Princess'
Ilex meserv. 'Heckenpracht'
Ilex meserv. 'Heckenstar'
Ilex meserv. Heckenfee
Ilex meserveae Heckenblau
Imperata cylindrica 'Red Baron'
Iris pseudacorus
Iris sibirica
Iris versicolor
Juglans nigra
Juglans regia
Juglans regia 'Carpathian'
Juglans Regia 'Chandler'
Kerria japonica 'Pleniflora'
Kolkwitzia amabilis
Kolkwitzia amabilis 'Pink Cloud'
Lamium mac. 'Roseum'
Lavandula ang. 'Dwarf Blue'
Lavandula ang. 'Hidcote'
Lavandula ang. 'Munstead'
Leucanthemum vulgare
Leucothoe 'Zeblid'
Leucothoe f. 'Rainbow'
Liatris spicata
Ligustrum japonicum
Ligustrum Ov. Mammoth
Ligustrum oval. 'Aureum'
Ligustrum ovalifolium
"Ligustrum vulg, 'Atrovirens'"
Ligustrum vulgare
Liquidambar s. 'SlenderSilhouette'
Liquidambar s. 'Worplesdon'
Liquidambar styraciflua
Liriodendron tulipifera
Liriope muscari 'Monroe White'
Lonicera caerulea
Lonicera nit. 'Elegant'
Lonicera nit. 'Maigrün'
Lonicera pileata
Lonicera pileata 'Moss Green'
Lythrum salicaria
Magnolia 'Genie'
Magnolia 'Susan'
Magnolia kobus
Magnolia soulangeana
Magnolia st. 'Rosea'
Magnolia stellata
Malus 'Evereste'
Malus toringo 'Brouwers'
Malus toringo 'Scarlett'
Matteuccia struthiopteris
Mentha spicata
Mentha spicata 'Moroccan'
Miscanthus sin. 'Ferner Osten'
Miscanthus sin. 'Graziella'
Miscanthus sin. 'Kleine Fontane'
Miscanthus sin. 'Morning Light'
Miscanthus sin. 'Strictus'
Molinia caerulea
Molinia caerulea 'Heidebraut'
Molinia caerulea 'Moorflamme'
Nandina d. 'Firepower'
Nepeta 'Six Hills Giant'
Nepeta 'Walker's Low'
NEPETA Faassenii Alba
Nepeta mussinii
Osmanthus burkwoodii
Osmanthus delavayi
Osmanthus heter. 'Goshiki'
Osmanthus heterophyllus
Osmunda regalis
Pachysandra term. 'Green Carpet'
Pachysandra terminalis
Panicum virgatum 'Heavy Metal'
Panicum virgatum 'Northwind'
Panicum virgatum 'Prairie Sky'
Parrotia persica
Parrotia persica 'Bella'
Parrotia persica 'Jodrell Bank'
Pennisetum al. 'Burgundy Bunny'
Pennisetum al. 'Hameln'
Pennisetum al. 'Little Bunny'
Pennisetum al. 'Redhead'
Pennisetum alopecuroides
Pennisetum alopecuroides viridesc
Perovskia 'Blue Spire'
Perovskia atripl. 'Little Spire'
Persicaria a. 'Lisan'
Persicaria a. 'Speciosa'
Persicaria aff. 'Darjeeling Red'
Persicaria aff. 'Kabouter'
Persicaria aff. 'Superba'
Philadelphus 'Belle Etoile'
Philadelphus 'Lemoinei'
Philadelphus 'Manteau d'Hermine'
Philadelphus 'Virginal'
Philadelphus cor. 'Aureus'
Philadelphus coronarius
Phillyrea ang. rosmarinifolia
Phillyrea angustifolia
Phillyrea angustifolia Green Line
Phlomis russeliana
Photinia fraseri 'Little Red Robin'
Photinia fraseri 'Red Robin'
Photinia fraseri 'Robusta Compacta' carre rouge
Physocarpus opulif. 'Dart's Gold'
Physocarpus opulif. 'Diabolo'
Physocarpus opulif. 'Red Baron'
Physocarpus opulif. Lady in Red
Physocarpus opulif. Little Joker
Pieris jap. 'Little Heath Green'
Pieris jap. 'Little Heath'
Pieris jap. 'Purity'
Pieris japonica 'Little Frosty'
Pinus mugo mugo
Pinus mugo pumilio
Pinus nigra
Pinus nigra nigra
Pinus sylvestris
Polystichum setiferum
Potentilla f. 'Abbotswood'
Potentilla f. 'Blink'
Potentilla f. 'Elizabeth'
Potentilla f. 'Kobold'
Potentilla f. 'Primrose Beauty'
Potentilla f. 'Red Ace'
Potentilla f. 'Tilford Cream'
Potentilla f. Marian Red Robin
Potentilla tridentata 'Nuuk'
Prunus l. 'Caucasica'
Prunus l. 'Novita'
Prunus l. 'Otto Luyken'
Prunus l. 'Piri'
Prunus l. 'Rotundifolia'
Prunus l. Etna
Prunus l. Genolia
Prunus l. On fire
Prunus lusitanica 'Angustifolia'
Prunus maackii 'Amber Beauty'
Prunus serr. 'Amanogawa'
Prunus serrula
Prunus spinosa
Pyracantha 'Orange Glow'
Pyracantha 'Soleil d'Or'
Pyracantha cocc. 'Red Column'
Pyrus calleryana 'Chanticleer'
Quercus ilex
Quercus pal. 'Green Dwart'
Quercus palustris
Rhododendron 'Catawb. Grandiflorum'
Rhododendron 'Cunningham's White'
Rhododendron 'Nova Zembla'
Rhododendron 'Roseum Elegans'
Rhododendron (AK) 'Balzac'
Rhododendron (bladverliezend) 'Harvest Moon'
Rhododendron (bladverliezend) 'Jolie Madame'
Rhododendron (bladverliezend) 'Nabucco'
Rhododendron (bladverliezend) 'Whitethroat'
Rhododendron (P) 'Polarnacht'
Rhododendron mollis Koniging Emma
Rhododendron ponticum
Rhododendron viscosum
Rhus aromatica 'Grow-Low'
Ribes alpinum 'Schmidt'
Ribes glandulosum
Robinia ps. 'Umbraculifera'
Rosmarinus officinalis
Rudbeckia f. 'Goldsturm'
Sagina subulata
Salix babylonica 'Tortuosa'
Salix integra 'Hakuro-nishiki'
Salix purpurea 'Nana'
Salvia nemorosa 'Blaukönigin'
Salvia nemorosa 'Caradonna''
Salvia nemorosa 'Ostfriesland'
Salvia nemorosa 'Rose Queen'
Salvia officinalis
Sambucus nigra
Sambucus nigra Black Beauty
Sambucus nigra Black Lace
Sambucus nigra Black Tower
Sanguisorba offic. 'Tanna'
Sarcococca confusa
Sarcococca hookeriana
Sarcococca hookeriana humilis
Sedum 'Herbstfreude'
Sesleria autumnalis
Sorbaria sorbif. 'Sem'
Sorbus auc. Wettra'
Spiraea arguta
Spiraea betulifolia
Spiraea betulifolia 'Tor Gold'
Spiraea betulifolia 'Tor'
Spiraea billardii
Spiraea cinerea 'Grefsheim'
Spiraea decumbens
Spiraea densiflora
Spiraea fritschiana
Spiraea jap. 'Albiflora'
Spiraea jap. 'Anthony Waterer'
Spiraea jap. 'Firelight'
Spiraea jap. 'Froebelii'
Spiraea jap. 'Genpei'
Spiraea jap. 'Golden Princess'
Spiraea jap. 'Little Princess'
Spiraea jap. 'Manon'
Spiraea jap. Magic Carpet
Spiraea nipp. 'Snowmound'
Spiraea thunbergii
Spiraea vanhouttei
Stachys byzantina
Stephanandra incisa 'Crispa'
Stipa tenuissima 'Ponytails'
Sympharicarpos ch. 'Hancock'
Symphoricarpos chenauttii
Symphoricarpos d. 'Magic Berry'
Symphoricarpos d. 'Mother of Pearl'
Symphoricarpos d. 'White Hedge'
Syringa 'Josée'
Syringa josikaea
Syringa microphylla 'Superba'
Syringa patula 'Miss Kim'
Syringa v. 'Michel Buchner'
Syringa v. 'Princesse Sturdza'
Syringa v. 'Président Grévy'
Tamarix tetrandra
Taxus b. 'Repandens'
Taxus baccata
Taxus media 'Hill'
Taxus media 'Hillii'
Tetradium daniellii
Teucrium lucidrys
Thuja occ. 'Brabant'
Thuja occ. 'Smaragd'
Thuja pl. 'Atrovirens'
Thuja pl. 'Excelsa'
Thuja pl. 'Gelderland'
Thymus v. 'Compactus'
Thymus vulgaris
Vaccinium cor. 'Bluecrop'
Vaccinium cor. 'Duke'
Verbena bon. 'Lollipop'
Verbena bonariensis
Veronica spicata
Veronica spicata 'Alba'
Viburnum 'Eskimo'
Viburnum 'Pragense'
Viburnum bodn. 'Dawn'
Viburnum burkwoodii
Viburnum davidii
Viburnum lantana
Viburnum opulus
Viburnum opulus 'Roseum'
Viburnum plic. 'Mariesii'
Viburnum plic. 'Watanabe'
Viburnum rhytidophyllum
Viburnum tinus
Viburnum tinus 'Eve Price'
Viburnum tinus 'Gwenllian'
Viburnum tinus 'Purpureum'
Viburnum tinus Lisarose
Vinca minor
Vinca minor 'Alba'
Vinca minor 'Gertrude Jekyll'
Waldsteinia ternata
Weigela 'Bristol Ruby'
Weigela 'Candida'
Weigela 'Nana Variegata'
Weigela florida 'Foliis Purpureis'
